Shipment_ID,Order_ID,Customer_ID,Customer_Name,Email,Phone,City,Country,Region,Postal_Code,Product_ID,Product_Name,Category,Weight_kg,Quantity,Unit_Price,Total_Price,Shipment_Date,Delivery_Date,Delay_Days,Status,Delivery_Mode,Vehicle_ID,Driver_Name,Transport_Type,Route_ID,Fuel_Cost,Distance_km,Delivery_Center,Warehouse_Name,Manager_Name,Order_Priority,Payment_Mode,Insurance,Return_Status,Remarks,Revenue,Delivery_Duration,Fuel_Efficiency,Profit,Delay_Flag,Urgency_Level,Payment_Mode_Encoded,Order_Priority_Encoded
S264497,O88633,C1965,Li Wei,Amit@Gmail.Com,9.16E+11,Delhi,India,Unknown,400001,P4308,Charger,Unknown,28.45298371,7,3608.377161,18639.48465,02-03-2023,03-03-2020,3,Cancelled,Unknown,V407,Mrs. Patel,Van,R188,1084.968401,1406.512023,Hub C,South Hub,Mr. Patel,High,Card,Unknown,Not Returned,Check Packaging,25258.64013,-1094 days,1.2963622,17554.51625,Yes,Urgent,0,3
S435885,O91498,C9033,Not Provided,,9.19E+11,Delhi,Usa,East,400001,P5123,Charger,Accessories,54.49826027,16,3897.800553,144272.0613,02-10-2023,25-02-2023,0,Delayed,Unknown,V685,Mr. Lee,Cargo,R364,5468.341619,23.39008855,Hub C,Unknown,Mr. Patel,Unknown,Card,Yes,Unknown,Handle With Care,62364.80885,-219 days,0.004277364,138803.7197,No,Na,0,2
S869081,O72513,C3501,Amit Kumar,John@Example.Com,9.17E+11,Mumbai,India,West,400001,P8796,Tablet,Food,14.52196038,17,528.0540745,12163.06653,09-06-2021,12-08-2021,7,Cancelled,Rail,V267,Unknown,Truck,R660,7089.920759,1861.959901,Unknown,North Hub,Mr. Khan,Unknown,Unknown,No,Unknown,No Remarks,8976.919267,64 days,0.262620693,5073.145771,Yes,Na,6,2
S231709,O31892,C3755,Amit Kumar,,9.2E+11,Mumbai,Uk,East,560001,P8865,Charger,Electronics,33.42435347,12,494.0543596,18639.48465,04-02-2020,14-09-2022,5,In Transit,Rail,V551,Ms. Sharma,Cargo,R319,8481.274237,385.6927903,Hub C,Central,Mr. Khan,High,Unknown,Unknown,Unknown,No Remarks,5928.652315,953 days,0.045475807,10158.21041,Yes,Urgent,6,3
S396953,O31953,C9009,John Doe,,9.18E+11,Chennai,Usa,Unknown,110001,P8603,Laptop,Unknown,83.32804276,2,1131.194487,190358.3469,14-03-2024,19-09-2021,4,Delivered,Ship,V746,Mr. Rao,Bike,R974,2556.841848,1843.161592,Warehouse A,Central,Mr. Khan,High,Unknown,Unknown,Pending,Check Packaging,2262.388974,-907 days,0.720874306,187801.5051,Yes,Urgent,6,3
S330334,O32542,C6281,Li Wei,John@Example.Com,9.19E+11,Unknown,Uk,West,560001,P1055,Tablet,Electronics,92.22648638,16,2847.357221,129249.4448,10-05-2022,15-06-2021,0,Delivered,Ship,V116,Mr. Lee,Van,R785,5242.289857,632.8260178,Hub C,South Hub,Mr. Khan,Unknown,Card,Unknown,Pending,No Remarks,45557.71554,-329 days,0.120715572,124007.1549,No,Na,0,2
S245121,O92720,C4841,Li Wei,,9.16E+11,Unknown,Usa,Unknown,0,P2072,Headphones,Clothing,47.48538505,3,307.5872966,44976.48821,01-04-2025,04-04-2025,1,Pending,Road,V803,Mr. Rao,Cargo,R211,2556.841848,1507.020937,Unknown,North Hub,Mr. Patel,Low,Online,Unknown,Not Returned,Handle With Care,922.7618898,3 days,0.589407178,42419.64636,Yes,Normal,4,1
S314910,O74645,C4040,Fatima Noor,,9.17E+11,Mumbai,Usa,West,600001,P4689,Laptop,Clothing,30.77210317,19,4256.863571,131061.7818,09-09-2025,15-08-2022,4,Delivered,Rail,V365,Mr. Lee,Cargo,R861,4582.846229,558.3356878,Warehouse B,Central,Unknown,Low,Cash,Yes,Unknown,No Remarks,80880.40785,-1121 days,0.121831643,126478.9356,Yes,Normal,1,1
S672875,O89843,C2779,Li Wei,Amit@Gmail.Com,9.16E+11,Chennai,Usa,East,560001,P1792,Charger,Clothing,92.22648638,13,3034.590772,57232.80452,11-05-2021,23-07-2023,2,Delayed,Ship,V265,Mrs. Patel,Van,R473,1209.503401,1456.701958,Warehouse B,Unknown,Mr. Patel,Unknown,Debit,Yes,Unknown,Delayed Delivery,39449.68004,803 days,1.204380208,56023.30112,Yes,Na,3,2
S423244,O99270,C3633,Not Provided,John@Example.Com,9.2E+11,Mumbai,Uk,West,600001,P2922,Charger,Furniture,6.972633502,8,4662.325817,167175.0862,03-01-2020,04-08-2024,11,Cancelled,Road,V594,Mr. Lee,Truck,R736,6663.056267,419.6354317,Hub C,Unknown,Mr. Khan,High,Online,No,Not Returned,No Remarks,37298.60654,1675 days,0.062979422,160512.0299,Yes,Urgent,4,3
S856762,O21469,C1644,Li Wei,,9.17E+11,Unknown,Usa,Unknown,110001,P5289,Charger,Food,18.74874873,8,1931.036453,129249.4448,06-09-2025,17-05-2025,1,Unknown,Road,V362,Mr. Lee,Truck,R359,6060.784907,1756.926761,Unknown,South Hub,Unknown,Low,Unknown,No,Pending,Delayed Delivery,15448.29162,-112 days,0.289884361,123188.6599,Yes,Normal,6,1
S888996,O58592,C1355,Jane Smith,John@Example.Com,9.2E+11,Chennai,Usa,North,560001,P2242,Tablet,Food,30.77210317,14,473.0606674,177191.3348,07-07-2020,18-08-2024,9,Unknown,Ship,V299,Mrs. Patel,Cargo,R574,4344.411364,1070.479319,Unknown,North Hub,Ms. Verma,Medium,Credit,No,Not Returned,Check Packaging,6622.849344,1503 days,0.246403766,172846.9234,Yes,Not Urgent,2,4
S493213,O37015,C6516,Not Provided,Amit@Gmail.Com,9.16E+11,Delhi,India,East,0,P4123,Unknown,Unknown,45.68784561,12,4323.352398,97446.1529,11-09-2024,14-05-2020,1,Pending,Unknown,V721,Unknown,Cargo,R811,7342.820681,433.1428677,Warehouse A,Unknown,Mr. Patel,Low,Cash,Unknown,Unknown,Check Packaging,51880.22878,-1581 days,0.058988621,90103.33222,Yes,Normal,1,1
S756133,O62065,C3644,Fatima Noor,John@Example.Com,9.18E+11,Delhi,Usa,Unknown,110001,P9186,Headphones,Furniture,88.77766789,2,1958.821957,172921.7965,07-08-2021,28-05-2021,4,In Transit,Road,V901,Unknown,Cargo,R978,2868.25948,1006.852013,Warehouse B,Unknown,Ms. Verma,High,Unknown,No,Not Returned,Handle With Care,3917.643914,-71 days,0.351032401,170053.537,Yes,Urgent,6,3
S587013,O30642,C2410,Amit Kumar,,9.18E+11,Unknown,Uk,East,600001,P2008,Charger,Food,89.53532137,15,547.4490582,31450.40809,09-06-2022,22-05-2021,7,Delayed,Road,V214,Mr. Rao,Cargo,R226,666.2038035,1248.440028,Warehouse B,Central,Unknown,Low,Card,Unknown,Pending,Delayed Delivery,8211.735873,-383 days,1.873961123,30784.20429,Yes,Normal,0,1
S605038,O21546,C1188,Li Wei,John@Example.Com,9.17E+11,Bangalore,Usa,West,560001,P7889,Headphones,Clothing,12.39962747,14,440.3027013,167175.0862,08-09-2021,30-06-2020,-1,Unknown,Road,V145,Mrs. Patel,Van,R665,5527.842774,1097.124418,Warehouse A,North Hub,Ms. Verma,High,Debit,Yes,Pending,No Remarks,6164.237818,-435 days,0.198472435,161647.2434,No,Urgent,3,3
S779278,O30465,C6291,Amit Kumar,Amit@Gmail.Com,9.19E+11,Delhi,India,East,400001,P3177,Tablet,Electronics,68.58118614,17,2814.938437,90097.7648,07-12-2022,18-11-2023,4,Pending,Road,V583,Ms. Sharma,Cargo,R730,4582.846229,149.423824,Hub C,Central,Ms. Verma,Medium,Online,Unknown,Unknown,No Remarks,47853.95343,346 days,0.032605027,85514.91857,Yes,Not Urgent,4,4
S566918,O28088,C7559,Jane Smith,John@Example.Com,9.18E+11,Mumbai,India,West,110001,P3728,Headphones,Furniture,83.32804276,1,1274.356122,32793.98709,10-05-2020,28-03-2024,11,Delivered,Air,V605,Unknown,Van,R441,1104.428067,151.0244466,Hub C,Central,Unknown,Unknown,Cash,Unknown,Unknown,Check Packaging,1274.356122,1418 days,0.136744484,31689.55902,Yes,Na,1,2
S555973,O89847,C9478,Michael Brown,,9.2E+11,Mumbai,Usa,East,560001,P2091,Charger,Furniture,60.31094367,13,4323.352398,197133.6254,02-03-2022,20-03-2025,0,Unknown,Unknown,V433,Mrs. Patel,Truck,R352,9505.592367,579.551768,Unknown,North Hub,Mr. Patel,Unknown,Unknown,Yes,Not Returned,Handle With Care,56203.58117,1114 days,0.060969558,187628.033,No,Na,6,2
S472844,O77362,C3637,Jane Smith,John@Example.Com,9.17E+11,Unknown,India,Unknown,560001,P3238,Headphones,Food,54.49826027,16.65562387,4376.729227,72897.15579,16-01-2025,18-03-2020,11,Delayed,Unknown,V730,Mr. Lee,Cargo,R196,8231.461695,1886.76569,Hub C,South Hub,Mr. Patel,High,Unknown,Yes,Unknown,Delayed Delivery,72897.15579,-1765 days,0.229213931,64665.6941,Yes,Urgent,6,3
S366213,O92476,C1358,Michael Brown,,9.2E+11,Unknown,Uk,Unknown,560001,P5320,Charger,Accessories,26.24860817,13,3887.725191,65423.89091,03-02-2021,07-11-2023,-1,In Transit,Air,V540,Mr. Rao,Van,R141,178.8096229,1961.602136,Warehouse A,Central,Mr. Khan,Low,Credit,Yes,Returned,No Remarks,50540.42748,1007 days,10.97033876,65245.08129,No,Normal,2,1
S226511,O97144,C7844,Michael Brown,,9.17E+11,Mumbai,Usa,North,400001,P5607,Headphones,Clothing,77.2413995,17,3545.305279,52705.98888,27-07-2022,31-08-2022,4,Delivered,Road,V914,Mr. Lee,Van,R589,8916.361693,1142.281819,Warehouse B,Unknown,Unknown,Medium,Online,Yes,Returned,Handle With Care,60270.18974,35 days,0.128110754,43789.62719,Yes,Not Urgent,4,4
S988943,O88803,C5047,Not Provided,,9.17E+11,Delhi,Usa,West,600001,P6724,Tablet,Food,96.97367046,1,1242.750328,148375.786,12-03-2025,22-11-2020,3,Delivered,Unknown,V930,Ms. Sharma,Bike,R430,4493.931902,419.6354317,Warehouse A,Central,Mr. Patel,Low,Online,No,Pending,No Remarks,1242.750328,-1571 days,0.093378236,143881.8541,Yes,Normal,4,1
S608644,O99111,C9626,Li Wei,,9.17E+11,Chennai,Unknown,South,600001,P3529,Tablet,Electronics,49.63266184,5,2394.742039,131243.5693,07-02-2025,28-05-2020,2,In Transit,Road,V592,Mrs. Patel,Truck,R186,8217.077304,1045.618889,Unknown,Unknown,Unknown,High,Card,No,Pending,Handle With Care,11973.7102,-1716 days,0.127249489,123026.492,Yes,Urgent,0,3
S255534,O86438,C6171,Jane Smith,,9.18E+11,Chennai,India,South,600001,P3488,Laptop,Food,18.59158424,12,2473.738849,121583.5087,06-08-2025,08-08-2025,-1,Delayed,Air,V880,Mrs. Patel,Truck,R689,6853.332809,713.1551668,Warehouse B,Central,Mr. Khan,High,Debit,Unknown,Pending,Check Packaging,29684.86619,2 days,0.104059614,114730.1759,No,Urgent,3,3
S650294,O31332,C6118,Not Provided,,9.16E+11,Chennai,Unknown,East,110001,P8394,Charger,Furniture,96.97367046,15,3587.724083,103270.9587,23-05-2022,30-12-2020,8,Pending,Ship,V917,Mr. Lee,Cargo,R236,9505.592367,1010.986043,Warehouse A,Unknown,Unknown,High,Credit,Yes,Pending,No Remarks,53815.86125,-509 days,0.106356974,93765.36633,Yes,Urgent,2,3
S767787,O11946,C9694,Fatima Noor,,9.19E+11,Mumbai,Unknown,Unknown,110001,P5465,Mobile,Electronics,10.21837534,11,247.9313375,149908.9591,03-05-2022,23-06-2020,11,Unknown,Unknown,V100,Ms. Sharma,Truck,R685,4839.54642,575.8247449,Warehouse A,Central,Mr. Khan,Unknown,Debit,Unknown,Pending,Check Packaging,2727.244713,-679 days,0.118983205,145069.4127,Yes,Na,3,2
S881507,O75684,C5723,Li Wei,,9.17E+11,Bangalore,Usa,Unknown,560001,P5252,Mobile,Electronics,5.121816066,16,1937.487668,179436.9465,20-03-2024,24-05-2025,14,In Transit,Rail,V880,Unknown,Bike,R363,8665.192759,1800.371382,Unknown,Central,Ms. Verma,High,Cash,Unknown,Pending,No Remarks,30999.80269,430 days,0.207770494,170771.7537,Yes,Urgent,1,3
S785572,O15028,C5986,Not Provided,,9.2E+11,Unknown,Uk,South,0,P7968,Unknown,Electronics,5.121816066,8,1955.826088,17051.12345,25-11-2023,26-02-2025,2,Pending,Ship,V692,Mr. Rao,Cargo,R585,363.9114768,939.1455906,Warehouse B,Central,Unknown,High,Upi,Yes,Unknown,No Remarks,15646.6087,459 days,2.580697918,16687.21197,Yes,Urgent,5,3
S577540,O84731,C7662,John Doe,,9.17E+11,Unknown,Unknown,North,110001,P4564,Laptop,Furniture,1.049450654,5,524.0510367,196124.1791,16-03-2022,19-12-2024,13,In Transit,Rail,V172,Mrs. Patel,Truck,R789,3653.713055,796.3351565,Warehouse A,North Hub,Mr. Patel,Low,Card,Unknown,Pending,No Remarks,2620.255184,1009 days,0.217952298,192470.466,Yes,Normal,0,1
S436721,O13776,C7655,Amit Kumar,,9.17E+11,Unknown,India,West,560001,P4967,Laptop,Food,33.42435347,10,4662.325817,87698.03529,02-09-2023,19-07-2023,-1,Pending,Road,V463,Ms. Sharma,Cargo,R906,2892.410615,142.643247,Warehouse A,Central,Mr. Patel,Low,Online,Unknown,Returned,No Remarks,46623.25817,-45 days,0.049316389,84805.62468,No,Normal,4,1
S506099,O22996,C4284,Michael Brown,John@Example.Com,9.19E+11,Bangalore,Uk,North,600001,P1959,Mobile,Unknown,96.58038729,14,3232.275874,154723.2036,03-02-2023,31-12-2024,1,Pending,Ship,V970,Mr. Lee,Van,R707,8665.192759,365.2178462,Warehouse A,South Hub,Ms. Verma,Low,Credit,No,Returned,Delayed Delivery,45251.86224,697 days,0.042147689,146058.0108,Yes,Normal,2,1
S120732,O99969,C9111,Li Wei,Amit@Gmail.Com,9.17E+11,Mumbai,Usa,West,560001,P9598,Charger,Clothing,3.029203111,10,4712.281498,141044.8847,04-03-2023,07-10-2020,12,Delayed,Rail,V604,Mr. Rao,Bike,R381,8607.492526,632.8260178,Hub C,Central,Ms. Verma,Medium,Upi,Yes,Unknown,Handle With Care,47122.81498,-878 days,0.073520368,132437.3922,Yes,Not Urgent,5,4
S248544,O11543,C3448,Jane Smith,,9.17E+11,Mumbai,Uk,East,560001,P7391,Laptop,Unknown,52.24676811,10,795.7657041,136546.1269,13-07-2022,26-04-2024,14,In Transit,Air,V530,Unknown,Van,R239,7402.625863,1939.508704,Hub C,Central,Mr. Khan,Low,Debit,No,Pending,Delayed Delivery,7957.657041,653 days,0.2620028,129143.501,Yes,Normal,3,1
